Số báo danh; Toán; Văn; Lí; Hoá; Ngoại ngữ; Sử; Địa; Sinh; GDCD;
01008484;5;8.25;;;5;6;;;;;24.25
01008485;5.5;8;;;4.5;8.25;;;;;26.25
01008486;6.1;8;;;6;5.75;;;;;25.85
01008487;7.1;8.75;;;6;6.5;;;;;28.35
01008488;6.5;9.5;;;7.75;7.75;;;;;31.5
01008489;6;8.75;;;5.5;7.25;;;;;27.5
01008490;6;9;;;6.25;6.75;;;;;28
01008491;7;9.25;;;6.25;9.25;;;;;31.75
01008492;3.6;8.5;;;4.75;6.25;;;;;23.1
01008493;7;7.75;;;8.75;8;;;;;31.5
01008494;6.75;9;;;6.25;8;;;;;30
01008495;6;8.75;;;5.75;7.75;;;;;28.25
01008496;4.6;9.25;;;4.75;7.6;;;;;26.2
01008497;5.75;9;;;7.75;8.5;;;;;31
01008498;3.5;6.5;;;3.75;3.35;;;;;17.1
01008499;6.25;8;;;6;7.75;;;;;28
01008500;4.1;8.5;;;6.5;5.5;;;;;24.6
01008501;3.35;8.5;;;3;5.85;;;;;20.7
01008502;4.35;8.25;;;6.5;5.6;;;;;24.7
01008503;6.75;9.25;;;5.5;8.75;;;;;30.25
01008504;8.5;8.75;;;7.25;8.25;;;;;32.75
01008505;8;8.5;;;6.75;5.75;;;;;29
01008506;5.5;8.5;;;7;6.5;;;;;27.5
01008507;4.25;7.75;;;6.25;7.25;;;;;25.5
01008508;5;8.5;;;8;8.75;;;;;30.25
01008509;2.95;6.5;;;2.5;5.6;;;;;17.55
01008510;9;9.5;;;8.25;10;;;;;36.75
01008511;6.1;9;;;6.25;9.25;;;;;30.6
01008512;6.75;8.5;;;5;7.25;;;;;27.5
01008513;6.5;8.75;;;5.75;8.75;;;;;29.75
01008514;5.1;7.75;;;5;7.1;;;;;24.95
01008515;7;8.75;;;7.25;7.25;;;;;30.25
01008516;6.75;8.5;;;7.5;6.25;;;;;29
01008517;5.75;8.75;;;7.5;5.5;;;;;27.5
01008518;5.6;9;;;5.75;7;;;;;27.35
01008519;4.5;8.75;;;5;6.75;;;;;25
01008520;7;8.5;;;4.75;7.25;;;;;27.5
01008521;5.25;8;;;5.25;7;;;;;25.5
01008522;6.5;9;;;7.5;8.25;;;;;31.25
01008523;6;8.5;;;5;7.6;;;;;27.1
01008524;5.25;9;;;4.5;6.75;;;;;25.5
01008525;6;8;;;6;7.5;;;;;27.5
01008526;4.75;8.5;;;6.25;6.5;;;;;26
01008527;5.25;8.5;;;6.75;7.5;;;;;28
01008528;5.35;9.5;;;5.25;7.1;;;;;27.2
01008529;8;9.25;;;8.75;9.5;;;;;35.5
01008530;6;9;;;7.75;8;;;;;30.75
01008531;5.5;8.75;;;7.5;8.25;;;;;30
01008532;6.25;8.75;;;7;9.75;;;;;31.75
01008533;5.5;8.5;;;6.5;7.75;;;;;28.25
01008534;4;8.5;;;2.25;7.35;;;;;22.1
01008535;4.1;8;;;4.75;5.75;;;;;22.6
01008536;7.5;8.5;;;6.25;8;;;;;30.25
01008537;5;7.5;;;8.25;;;;;7;27.75
01008538;7;9;;;5.5;;;;;;30.25
01008539;5.25;8.25;;;5.75;;;;;;26.75
01008540;4.75;8.5;;;7.25;;;;;;26.25
01008541;6.1;8.5;;;6;;;;;;30.6
01008542;4.1;8.5;;;4.75;;;;;;24.35
01008543;5.35;8.5;;;6.25;;;;;;28.6
01008544;6.75;8.5;;;7.75;;;;;;31.5
01008545;6;8.5;;;7.25;;;;;;30.5
01008546;3.1;8.5;;;5.25;;;;;;23.95
01008547;6.75;8.75;;;7;;;;;;32
01008548;5;8.25;;;4.75;;;;;7.75;25.75
01008549;3.35;8.5;;;5.25;;;;;;25.35
01008550;5.25;8.5;;;5.75;;;;;;26.75
01008551;4.6;7.25;;;5;;;;;;24.35
01008552;1.85;5.5;;;2.75;;;;;5;15.1
01008553;5.35;8.5;;;7.75;;;;;;30.6
01008554;5.35;6.75;;;6.75;;;;;8.25;27.1
01008555;6.75;9.25;;;9.25;;;;;;33.5
01008556;4.2;8.75;;;5.25;;;;;;26.95
01008557;5.1;8.75;;;6.75;;;;;;28.1
01008558;4.5;8;;;5.5;;;;;;26
01008559;4.25;8;;;6.75;;;;;;28.25
01008560;6.25;7;;;5.25;;;;;;26.25
01008561;5.25;7.75;;;5.75;;;;;;26.75
01008562;5.5;8;;;4.25;;;;;;25.5
01008563;6;8;;;5.5;;;;;;27
01008564;5.25;9.25;;;6;;;;;;29
01008565;4;8.25;;;5.5;;;;;;24.5
01008566;7.25;5.75;;;;;;;;8;21
01008567;3;7.5;;;4.25;;;;;;23.5
01008568;3.5;8;5.5;;;;;;;;24.75
01008569;6.5;8.5;;;7.5;;;;;;31.5
01008570;5;8.25;;;7;;;;;;28.75
01008571;4.75;7.75;;;4.25;;;;;;24.25
01008572;6;8.5;;;6.5;;;;;;29.5
01008573;5.75;6.5;;;7;;;;;;26.75
01008574;6;8.75;;;7.5;;;;;;30
01008575;3.75;6.5;;;5;;;;;;21.75
01008576;5.35;9;;;6.5;;;;;;29.1
01008577;4.5;7.25;;;5.75;;;;;;26
01008578;7;8.75;;;5.25;;;;;;30.75
01008579;3.6;8.5;;;3.5;;;;;;24.35
01008580;4.6;9;;;3.75;;;;;;26.85
01008581;5.75;8;;;7;;;;;;29.5
01008582;4.75;8;;;4.25;;;;;;24.75
01008583;4;7;;;4;;;;;7;22
01008584;4.5;9;;;4.75;;;;;;27.75
01008585;6;8.25;;;6.5;;;;;;30.25
01008586;8.75;8.5;7.85;;;;;;;8.5;33.6
01008587;6.25;8.75;;;6;;;;;;28.75
01008588;5.25;8;;;5.75;;;;;;27
01008589;5.25;7;;;5.75;;;;;;28
01008590;3.75;7.25;;;3;;;;;;22.25
01008591;7.5;8.25;;;8.75;;;;;;34
01008592;3.35;5.25;;;;5.25;;;;5.75;19.6
01008593;3;8;;;;;;;;;25
01008594;7;9;;;6.75;;;;;;31.25
01008595;4.1;8.5;;;7.5;;;;;;28.6
01008596;6;8.25;;;6.75;;;;;;30.75
01008597;3.35;8.5;;;2;;;;;;21.85
01008598;4.85;8.25;;;5;;;;;;26.35
01008599;3.75;7.25;;;8.25;;;;;;27.25
01008600;6.5;8.5;;;5.75;;;;;;28.5
01008601;4.6;7.25;;;5.25;;;;;7.5;24.6
01008602;4.1;6;;;5.5;;;;;6.75;22.35
01008603;6.5;8.5;;;5;;;;;;28.5
01008604;5;8.5;;;7.75;;;;;;30.25
01008605;5.5;7.5;;;5.5;;;;;;26.75
01008606;3.75;7.5;;;;;;;;;26.25
01008607;5;8.25;;;4.5;;;;;;26.5
01008608;5.75;8.5;;;4.5;;;;;;27
01008609;2.75;8.25;;;5.5;;;;;;25
01008610;5;7.5;;;3.25;;;;;;24
01008611;6.5;7.25;;;7;;;;;5.75;26.5
01008612;4.75;8;;;8.25;;;;;;27.1
01008613;4;5.75;;;4.5;;;;;;22.25
01008614;5.1;8;;;4;;;;;8.75;25.85
01008615;6;8.5;;;7.75;;;;;;31.75
01008616;4.25;7.75;;;4.75;;;;;;23.75
01008617;4;8.5;;;5;;;;;;26.25
01008618;5.75;8.25;;;8;;;;;;28.75
01008619;6.25;8.75;;;5.5;;;;;;29.25
01008620;6;8.5;;;6.25;;;;;;30.25
01008621;3.75;6.67;;;8.75;;;;;;28.17
01008622;7.25;7.75;;;6.75;;;;;;30
01008623;7;8.75;;;6.25;;;;;;31.75
01008624;4.6;8.08;;;5.25;;;;;;25.18
01008625;5.25;9;;;4.5;;;;;;27
01008626;5;9;;;3.25;;;;;;23.75
01008627;6.25;9;;;6.75;;;;;;29.75
01008628;7.75;9;;;7.75;;;;;;33.25
01008629;5.35;8.25;;;7;;;;;;28.6
01008630;6.25;9;;;5.25;;;;;;28.25
01008631;1.85;7;;;;4.1;;;;;16.8
01008632;3;7.5;;;6.25;;;;;;24.5
01008633;4.85;9;;;5.5;;;;;;27.6
01008634;2.5;6.58;;;;7.25;;;;;25.58
01008635;6.25;8.25;;;7;;;;;;30
01008636;5.5;7;;;6.25;;;;;7.75;26.5
01008637;4.5;8.5;;;;7.75;;;;;27.75
01008638;5.1;7.75;6.75;;5.25;;;;;;24.85
01008639;8.25;9;7;;5.75;;;;;;30
01008640;6.25;7;6.5;;5.25;;;;;;25
01008641;8;7.75;8.5;;7;;;;;;31.25
01008642;6.75;8.67;5.85;;7.5;;;;;;28.77
01008643;7.5;6.58;8;;7;;;;;;29.08
01008644;7;7.08;8;;5.25;;;;;;27.33
01008645;6.5;7.5;4.5;;4.25;;;;;;22.75
01008646;7.5;6.33;8.6;;7.75;;;;;;30.18
01008647;3.7;6;;;5;;;;;6;20.7
01008648;6.25;8.5;5;;4;;;;;;23.75
01008649;7.5;8.75;8.5;;6.25;;;;;;31
01008650;2.6;6.75;;;3;;;;;5.25;17.6
01008651;6;7.75;7.25;;7.75;;;;;;28.75
01008652;5.5;9.5;5.5;;7.25;;;;;;27.75
01008653;5;8.5;6.75;;5.75;;;;;;26
01008654;6;5.5;5.35;;8.75;;;;;;25.6
01008655;8;8.75;8.25;;4;;;;;;29
01008656;4.1;8.25;;;;;;;;;28.6
01008657;5.25;7.5;8;;7;;;;;;27.75
01008658;4.25;7.25;4.75;;5;;;;;;21.25
01008659;6.35;8.25;7.25;;5.5;;;;;;27.35
01008660;8;7.75;9;;7.5;;;;;;32.25
01008661;4.5;6.75;;;;;;;;7.5;18.75
01008662;8.25;7.25;8;;7.75;;;;;;31.25
01008663;7.25;7.75;8.75;;6.25;;;;;;30
01008664;4.6;7.5;7;;2.75;;;;;;21.85
01008665;8.25;8;8.25;;7;;;;;;31.5
01008666;8.25;7.25;6.75;;9;;;;;;31.25
01008667;6.25;6.75;6.75;;6.75;;;;;;26.5
01008668;4.5;7.5;6.25;;4;;;;;;22.25
01008669;6.25;8.25;8.25;;4.25;;;;;;27
01008670;5.5;6.25;7;;3.5;;;;;;22.25
01008671;7.25;7.5;8;;5.25;;;;;;28
01008672;6.75;8;8.75;;6;;;;;;29.5
01008673;3.75;8;5;;3.75;;;;;;20.5
01008674;7.25;8.5;6;;6.25;;;;;;28
01008675;6.75;8.25;7.5;;7.75;;;;;;30.25
01008676;8;7.5;9.75;;5.5;;;;;;30.75
01008677;5.85;8.5;5.85;;8.25;;;;;;28.45
01008678;4.75;7;;;;;;;;8.5;20.25
01008679;8;7.5;8.25;;7.5;;;;;;31.25
01008680;8;8.25;7.25;;6.5;;;;;;30
01008681;9.5;7.25;9.5;;8;;;;;;34.25
01008682;5;7;5.25;;5.25;;;;;;22.5
01008683;6;7.5;5.5;;8.75;;;;;;27.75
01008684;9.5;7.83;9.5;;8.25;;;;;;35.08
01008685;8;8.17;7.75;;4.75;;;;;;28.67
01008686;3.6;7.5;;;;;;;;;27.6
01008687;6.25;6.25;7;;8;;;;;;27.5
01008688;9;8.75;8.75;;8.75;;;;;;35.25
01008689;5.35;6.75;7.6;;5;;;;;;24.7
01008690;8.5;8.5;6.25;;5.75;;;;;;29
01008691;6.35;7.25;5.35;;7.25;;;;;;26.2
01008692;6.6;6.75;8.25;;5.25;;;;;;26.85
01008693;8;7;7.25;;7;;;;;;29.25
01008694;6.5;6.75;8;;5.75;;;;;;27
01008695;5;7.5;5.25;;4.75;;;;;;22.5
01008696;8;8.75;8.75;;8.75;;;;;;34.25
01008697;8;7.75;9.25;;6.75;;;;;;31.75
01008698;7.5;8.5;9.5;;5.5;;;;;;31
01008699;6.25;8.5;5.85;;5.5;;;;;;26.1
01008700;6.5;8;7.25;;3.25;;;;;;25
01008701;6.25;8.75;8.25;;6;;;;;;29.25
01008702;5.85;8;9;;9;;;;;;31.85
01008703;5;8;5.35;;7.5;;;;;;25.85
01008704;7.5;7.5;7.5;;4.75;;;;;;27.25
01008705;6.75;8.08;6.85;;5.5;;;;;;27.18
01008706;6.1;7.42;8;;7;;;;;;28.52
01008707;8;8.25;8.25;;7.25;;;;;;31.75
01008708;5.25;7.58;8;;5.75;;;;;;26.58
01008709;5.5;8.5;7.5;;4.25;;;;;;25.75
01008710;7.5;8.25;9.25;;7.25;;;;;;32.25
01008711;7.5;6.92;7.75;;7.75;;;;;;29.92
01008712;7;7.25;;;5.75;;;;;8.75;28.75
01008713;7.5;8.75;8.25;;6.5;;;;;;31
01008714;5.75;8;7.5;;2.5;;;;;;23.75
01008715;6.75;6;8.25;;7.75;;;;;;28.75
01008716;2.5;7.75;;;;3.6;;;;4.6;18.45
01008717;8;8.75;8;;8.25;;;;;;33
01008718;4.85;8.25;6;;5.5;;;;;;24.6
01008719;5.35;8.5;;;5.5;;;;;;26.85
01008720;4.25;7.75;;;3.75;;;;;7.75;23.5
01008721;4.25;8.75;4.75;;3;;;;;;20.75
01008722;6;8.5;7;;4.25;;;;;;25.75
01008723;3.95;8.25;6.75;;3.25;;;;;;22.2
01008724;5.25;8.5;8;;5.5;;;;;;27.25
01008725;5.75;9;5.5;;5.25;;;;;;25.5
01008726;7.75;9;9.5;;7.5;;;;;;33.75
01008727;5.6;9;;;8.5;;;;;;31.1
01008728;7.5;6.75;8.25;;5.25;;;;;;27.75
01008729;6;7.25;8;;9.25;;;;;;30.5
01008730;7;6.75;8.5;;6;;;;;;28.25
01008731;10;6.25;;;9.5;;;;;9.75;35.5
01008732;7;7.5;7.1;;6;;;;;;27.6
01008733;4.35;7.5;;;4.75;;;;;7.25;23.85
01008734;7.5;8.75;7.25;;7.5;;;;;;31
01008735;8.5;7.25;9;;6.25;;;;;;31
01008736;5.5;9.25;6.6;;7;;;;;;28.35
01008737;9.5;7.75;9.25;;7.5;;;;;;34
01008738;6.6;7.5;7;;5.5;;;;;;26.6
01008739;5.25;8;7.25;;5.75;;;;;;26.25
01008740;7.5;8.5;8.25;;8;;;;;;32.25
01008741;4.6;7;5.5;;5.25;;;;;;22.35
01008742;6.5;7.75;5.25;;6.75;;;;;;26.25
01008743;6;8;5.1;;8;;;;;;27.1
01008744;6.35;8;7;;4.75;;;;;;26.1
01008745;8;8;8.75;;7;;;;;;31.75
01008746;3.75;7.25;3.75;;6.25;;;;;;21
01008747;6.6;7.75;9;;7.25;;;;;;30.6
01008748;8;7;8.75;;8.25;;;;;;32
01008749;8;8.5;7.5;;6.25;;;;;;30.25
01008750;6.75;7.17;8;;5.5;;;;;;27.42
01008751;6;8.5;5.5;;5.5;;;;;;25.5
01008752;7.5;7;7.5;;6;;;;;;28
01008753;5.25;9;7.75;;6;;;;;;28
01008754;6.75;8.75;8.75;;5.5;;;;;;29.75
01008755;6.25;8.75;7;;5.5;;;;;;27.5
01008756;8;9;9.5;;4.75;;;;;;31.25
01008757;6.25;7;8;;6.75;;;;;;28
01008758;6.75;6.25;6.25;;5.75;;;;;;25
01008759;8.5;6.25;8.25;;7.75;;;;;;30.75
01008760;6.5;7.25;6.5;;5.25;;;;;;25.5
01008761;5.35;8;7.75;;5;;;;;;26.1
01008762;5.85;8.25;7.75;;3;;;;;;24.85
01008763;7.25;7.5;8.5;;5;;;;;;28.25
01008764;2.85;6.5;;;;4.35;;;;;19.7
01008765;7.75;7.25;9.5;;6;;;;;;30.5
01008766;5.5;6.5;6.75;;7.25;;;;;;26
01008767;6.35;7.75;7.6;;8.75;;;;;;30.45
01008768;9.5;7.25;9.5;;7.25;;;;;;33.5
01008769;6.75;6.75;8.75;;6;;;;;;28.25
01008770;5.25;6.5;10;;6.5;;;;;;28.25
01008771;8.5;7.25;9.5;;5.75;;;;;;31
01008772;4.5;8;;;;4.5;;;;;24.5
01008773;6.25;7.25;6.75;;4.75;;;;;;25
01008774;5.6;8;8.25;;6.25;;;;;;28.1
01008775;6;8.75;7.25;;5.5;;;;;;27.5
01008776;4.25;7.75;;;7;;;;;7.85;26.85
01008777;8;8;7.25;;5.75;;;;;;29
01008778;7.5;8.5;7.25;;7.5;;;;;;30.75
01008779;4.1;7.25;4.35;;7.75;;;;;;23.45
01008780;5.35;2.75;6.75;;5.25;;;;;;20.1
01008781;7.25;8.25;8;;4.5;;;;;;28
01008782;6.35;8.5;4.1;;4.75;;;;;;23.7
01008783;5.5;7.75;4.85;;5;;;;;;23.1
01008784;8.25;8.5;7;;6;;;;;;29.75
01008785;5.75;8.5;4.85;;5.5;;;;;;24.6
01008786;9;6;10;;8;;;;;;33
01008787;7.25;7.25;5.5;;7.75;;;;;;27.75
01008788;7.25;8;6.35;;6.5;;;;;;28.1
01008789;4.75;4.5;4.5;;3.5;;;;;;17.25
01008790;9;8.25;8.75;;7.75;;;;;;33.75
01008791;7.25;8.25;5.85;;4.25;;;;;;25.6
01008792;1.7;7;;;;;;;;;18.45
01008793;8.5;8.75;9.25;;7.25;;;;;;33.75
01008794;4.25;7;4.6;;3.5;;;;;;19.35
01008795;8.5;6.5;9.25;;8.25;;;;;;32.5
01008796;8.5;7;8.75;;7.25;;;;;;31.5
01008797;7.75;6.5;8;;7.25;;;;;;29.5
01008798;5.25;7.75;4.5;;4;;;;;;21.5
01008799;6;7.25;;;4.25;;;;;8.25;25.75
01008800;6.25;6;7;;6;;;;;;25.25
01008801;7.5;7;9;;9;;;;;;32.5
01008802;6.25;8.25;5.25;;5;;;;;;24.75
01008803;6.25;6.75;8;;6.75;;;;;;27.75
01008804;5.75;7;5.75;;5;;;;;;23.5
01008805;8.5;9;8.75;;8;;;;;;34.25
01008806;7.25;7.5;6;;5.75;;;;;;26.5
01008807;8;7.5;10;;9.25;;;;;;34.75
01008808;7;8;9;;4;;;;;;28
01008809;6.75;8.25;8.25;;7;;;;;;30.25
01008810;6;8.25;5.85;;4;;;;;;24.1
01008811;5.75;8.5;6.75;;6.75;;;;;;27.75
01008812;5.75;8;;;5.25;;;;;;26.25
01008813;5;9;5.5;;4.25;;;;;;23.75
01008814;8.5;7.75;8;;7.75;;;;;;32
01008815;6.75;8;6.5;;5.5;;;;;;26.75
01008816;7;8.25;7;;4;;;;;;26.25
01008817;7.75;7.25;5.6;;5.25;;;;;;25.85
01008818;9.5;8.75;9;;7.25;;;;;;34.5
01008819;4.25;6.5;;;2.75;;;;;5.75;19.25
01008820;6;8.5;;;9.5;;;;;;33.5
01008821;3.1;5.08;;;;5.2;;;;;19.48
01008822;3.25;6.75;;;2.75;;;;;6.6;19.35
01008823;6.25;7.5;9;;8;;;;;;30.75
01008824;5.75;7;7;;6.75;;;;;;26.5
01008825;4.35;8;;;5.5;;;;;6.6;24.45
01008826;5.85;8.25;6.1;;6.5;;;;;;26.7
01008827;9;6.5;8.75;;8.25;;;;;;32.5
01008828;6;7.75;7.25;;6.25;;;;;;27.25
01008829;8;8;9.25;;8.25;;;;;;33.5
01008830;6.5;7;7.75;;10;;;;;;31.25
01008831;5.85;7;7.1;;5.75;;;;;;25.7
01008832;3.25;7;5.5;;5.25;;;;;;21
01008833;8.5;8.25;8.5;;9.25;;;;;;34.5
01008834;5.25;6.75;4.5;;8;;;;;;24.5
01008835;4.1;8.25;6.1;;6.25;;;;;;24.7
01008836;8;8.5;8.5;;8.25;;;;;;33.25
01008837;8.5;8.75;8.75;;6.75;;;;;;32.75
01008838;7.5;8;5.75;;4.75;;;;;;26
01008839;6.25;7.25;5.85;;5;;;;;;24.35
01008840;4.85;7.75;5.35;;5;;;;;;22.95
01008841;7.75;7.5;8.25;;8.75;;;;;;32.25
01008842;6.25;7.75;7.25;;5.5;;;;;;26.75
01008843;6.25;5.25;7.75;;6.5;;;;;;25.75
01008844;4.1;7.5;7;;5;;;;;;23.6
01008845;7.25;7;8.5;;7.75;;;;;;30.5
01008846;7.5;7.75;8.75;;8.5;;;;;;32.5
01008847;8;8.25;9;;7.75;;;;;;33
01008848;6.25;8;6;;3;;;;;;23.25
01008849;5.75;8.5;6.75;;6.5;;;;;;27.5
01008850;6;6.75;8.25;;6.75;;;;;;27.75
01008851;6.5;7.5;8.5;;6;;;;;;28.5
01008852;6.75;8;5.75;;8.5;;;;;;29
01008853;7.5;4.25;;;9;;;;;7.5;28.25
01008854;8;7;6.5;;5.75;;;;;;27.25
01008855;6.25;7.5;;;4.75;;;;;5.1;23.6
01008856;5.75;8.25;;;5.5;;;;;;28
01008857;6.5;5.5;5.25;;;;;;;7.75;25
01008858;5.5;8.5;;;4.5;;;;;;27.25
01008859;4.5;7.75;;;;;;;;;29.25
01008860;4.5;8.25;;;4.25;;;;;5.85;22.85
01008861;3.35;8;;;;5.75;;;;;23.85
01008862;4.6;8.25;;;4;;5.5;;;;22.35
01008863;3.35;6.42;;;;;;;;;20.52
01008864;6;8.75;;;4;;8;;;;26.75
01008865;5.25;7.75;;;;;;;;;29.5
01008867;2.75;7.5;;;;;;;;;21
01008868;5.5;8;;3.75;;;;;;6;23.25
01008869;2.6;7;;;;;;;;;27.6
01008870;4.25;7;;;4.5;;;;;7.5;23.25
01008871;2.85;7;;;;;;;;;22.2
01008872;4.6;9;;;3.75;;;;;5.25;22.6
01008873;2.6;4.75;;;3;;;;;5.1;15.45
01008874;4.5;8.5;;;2.75;;;;;;23
01008875;3.85;7.75;;;5;;;;;6.5;23.1
01008876;6.25;7;;4.85;;;;;;7;25.1
01008877;4.5;7.5;;;7.25;;;;;7.75;27
01008878;4;8.25;;;4.25;;;;;5.5;22
01008879;5.5;7.75;;;;;;;;;29.25
01008880;6.5;8.5;;;7;;;;;8;30
01008881;5.35;8.5;;;4.5;;;;;7.25;25.6
01008882;2.1;7.75;;;;;;;;;26.1
01008883;2.6;8;;;;6;;;;;21.6
01008884;5.75;4;;;6.75;;;;;8.5;25
01008885;5.1;6.75;;2.1;;;;;;5.2;19.15
01008886;2.5;8.75;;;;;;;;;23.5
01008887;5.75;9;;;6;;8.25;;;;29
01008888;5;8.5;;;5;;7.35;;;;25.85
01008889;8;9.5;;;6.5;;5.85;;;;29.85
01008890;8.25;9.25;;;5;;8;;;;30.5
01008891;3.25;8.5;;;5;;7.75;;;;24.5
01008892;3.45;8;;;5.25;;5.85;;;;22.55
01008893;7;8.75;;;7.5;;9;;;;32.25
01008894;5;5.75;;;5.5;;5.75;;;;22
01008895;5.5;7.75;;;6;;5.85;;;;25.1
01008896;5;9;;;6.5;;8.25;;;;28.75
01008897;5.5;9.25;;;7.5;;7.25;;;;29.5
01008898;6.25;9.25;;;5.5;;8.5;;;;29.5
01008899;6.75;8.5;;;4.5;;8.1;;;;27.85
01008900;7;9.5;;;7.25;;8.5;;;;32.25
01008901;5.5;9;;;5;;9.25;;;;28.75
01008902;4.1;8;;;6;;5.5;;;;23.6
01008903;3.85;8.5;;;4.25;;6.75;;;;23.35
01008904;5.35;7.75;;;4.75;;6.25;;;;24.1
01008905;4;8.5;;;3;;7.75;;;;23.25
01008906;4.25;6.75;;;2.5;;;;;6.35;19.85
01008907;5.5;9;;;4.5;;5.5;;;;24.5
01008908;4.35;4.5;;;4.75;;;;;6;19.6
01008909;5.25;8.5;;;;5.5;;;;5.5;24.75
01008910;5.35;8.5;;;;;;;;;27.85
01008911;2.35;7;;;;4.75;;;;;23.1
01008912;8;9;;;6.75;;;;;;32.75
01008913;3.75;7;;;;5.6;;;;6.5;22.85
01008914;3.35;8.5;;;6;;;;;5.75;23.6
01008915;4.5;7;;;;7;;;;6;24.5
01008916;5.25;8.5;;;5;;;;;6.35;25.1
01008917;4.5;8.75;;;5.25;;7.75;;;;26.25
01008918;5.5;8.75;;;5.5;;5.85;;;;25.6
01008919;3.5;7.25;;;4.75;;5.75;;;;21.25
01008920;5;8.5;;;4.5;;5.5;;;;23.5
01008921;6;6.5;9;;9.25;;;;;;30.75
01008922;4.6;9;;;6.5;5.95;;;;;26.05
01008923;6.25;8.25;7.5;;5.25;;;;;;27.25
01008924;5.5;8.75;;;8;8.25;;;;;30.5
01008925;4.35;8.75;;;5.5;6.5;;;;;25.1
01008926;5.25;9;;;7;8;;;;;29.25
01008927;5.25;6.5;4.75;;5.25;;;;;;21.75
01008928;4.75;7.25;4.6;;2.5;;;;;;19.1
01008929;6.5;9.25;;;5.5;7.5;;;;;28.75
01008930;5;6.75;6.5;;5.5;;;;;;23.75
01008931;4;7.5;;;5;6.35;;;;;22.85
01008932;5.75;8.75;;;4.75;6.75;;;;;26
01008933;5.5;8.25;;;6.5;7.75;;;;;28
01008934;6.75;8.25;;;6.75;8;;;;;29.75
01008935;5;9;;;8.25;9.25;;;;;31.5
01008936;5.5;9.25;;;4.75;9.75;;;;;29.25
01008937;4.5;8.75;;;3.75;7.5;;;;;24.5
01008938;6.5;7;;;5;6.75;;;;;25.25
01008939;8;8.75;;;6.75;7.75;;;;;31.25
01008940;7.75;8.5;;;6.25;8.25;;;;;30.75
01008941;6.35;9.25;;;7.5;9.5;;;;;32.6
01008942;8.5;8.5;;;7;9.25;;;;;33.25
01008943;4.6;9.5;;;6.25;6.75;;;;;27.1
01008944;4.75;9;;;8.75;8.75;;;;;31.25
01008945;5;9;;;6;7.75;;;;;27.75
01008946;4.1;7.75;;;4.75;6.75;;;;;23.35
01008947;5.75;9.5;;;6.75;7.25;;;;;29.25
01008948;7.25;9;;;7;7;;;;;30.25
01008949;5.5;9;;;7.5;7.75;;;;;29.75
01008950;6.5;8.5;;;6.5;8.75;;;;;30.25
01008951;6.5;8.5;;;4.75;7;;;;;26.75
01008952;4.35;8.5;;;4.5;7.85;;;;;25.2
01008953;6.5;8.75;;;5.75;5.25;;;;;26.25
01008954;5.35;8.75;;;7.25;6.75;;;;;28.1
01008955;6.5;7;;;2.5;8.25;;;;;24.25
01008956;2.85;6.75;;;4;7.75;;;;;21.35
01008957;5.5;8.25;;;5.75;7.5;;;;;27
01008958;5;8.5;;;2;3.35;;;;;18.85
01008959;5.5;8.75;;;7.25;8.25;;;;;29.75
01008960;6.5;8.25;;;5;8;;;;;27.75
01008961;7.25;8.5;;;6.75;8;;;;;30.5
01008962;5.35;9;;;4;8.75;;;;;27.1
01008963;5.85;8.25;;;4.75;8.25;;;;;27.1
01008964;5;9;;;5.25;9;;;;;28.25
01008965;5.5;9.25;;;5.75;7.5;;;;;28
01008966;4.75;8.75;;;4.75;6.5;;;;;24.75
01008967;6.5;7.5;;;6.75;7.75;;;;;28.5
01008968;5.85;7;;;6.75;6.5;;;;;26.1
01008969;6.75;9.25;;;5.75;8;;;;;29.75
01008970;5.35;8;;;4.75;8.25;;;;;26.35
01008971;6.5;9.25;;;6;9.5;;;;;31.25
01008972;5;7.5;;;2.25;7;;;;;21.75
01008973;5.75;6.5;;;5.5;8.25;;;;;26
01008975;4.75;8.25;;;6.75;5;;;;;24.75
01008976;5;7.5;7;;6.25;;;;;;25.75
01008977;3.95;8.25;4.5;;5.25;;;;;;21.95
01008978;3.5;8.25;;;5.5;7.5;;;;;24.75
01008979;7;8;7.5;;6.5;;;;;;29
01008980;7.5;8.5;8;;7;;;;;;31
01008981;5;7.75;6.25;;6.25;;;;;;25.25
01008982;4.85;8;6;;6.25;;;;;;25.1
01008983;5.1;7.25;7.5;;5;;;;;;24.85
01008984;3.5;7.75;;;6.25;9;;;;;26.5
01008985;6.25;8.5;9;;5.5;;;;;;29.25
01008986;6;8.5;;;7.75;7.5;;;;;29.75
01008987;8;9;8.75;;8.25;;;;;;34
01008988;5.85;8;;;6;6;;;;;25.85
01008989;5.85;8.25;;;5.5;8;;;;;27.6
01008990;5.75;8;;;5.25;7;;;;;26
01008991;6.75;8.75;;;8.5;8;;;;;32
01008992;6.5;8.5;7.5;;6.25;;;;;;28.75
01008993;6;7.75;7;;4;;;;;;24.75
01008994;7.5;7.17;;;6.5;5.25;;;;;26.42
01008995;4.5;7.25;;;5.5;8;;;;;25.25
01008996;3.45;8;;;3.25;3.75;;;;;18.45
01008997;9;8;10;;6.5;;;;;;33.5
01008998;6.5;8;6.5;;5.25;;;;;;26.25
01008999;6.75;8;7.35;;4.75;;;;;;26.85
01009000;8;9.25;9.25;;6.5;;;;;;33
